PCMT,2020,No
Aaitui,5657,
Aaron,7553,
Abanikanda,8677,
Abbot,6693,
Abbrederis,5788,
Abdesmad,6356,
Abdullah,4,
Abdul-Quddus,5,
Abel,7554,
Abernathy,7,
Abiamiri,8,
Aboushi,5543,
Abraham,9,
Abram,7281,
Abrams,11,
Abreu,7555,
Achane,8665,
Acho,15,
Acker,5789,
Ackerman,16,
Ackers,44,
Acklin,7105,
Acosta,5619,
Acy,32,
Adair,7556,
Adam,8006,
Adams,19,
Adamson,7557,
Adcock,20,
Addae,6257,
Addai,21,
Adderley,7280,
Addington,8663,
Addison,23,
Adebawore,8732,
Adebo,8307,
Adeboyejo,6636,
Adeniji,5620,
Adeniyi,6933,
Adeyanju,25,
Adeyemi,6406,
Adibi,26,
Adjei-Barimah,6113,
Adkins,27,
Adkisson,28,
Adler,7558,
Adomitis,8536,
Adongo,5784,
Afalava,29,
Afriyie,7860,
Agasiva,8198,
Agholor,5790,
Agim,34,
Agnew,31,
Aguayo,6170,
Agudosi,6864,
Aguilar,6694,
Aguilera,7385,
Aguirre,6695,
Agurs,6025,
Ah You,35,
Ahanotu,36,
Ahlers,8796,
Ahmad,7559,
Ahmed,6408,
Aiken,38,
Aikens,5791,
Aikman,39,
Ainge,40,
Aiyuk,37,
Ajala,5621,
Ajayi,5792,
Ajirotutu,41,
Akbar,42,
Akers,44,
Akindele,8223,
Akinmoladun,1,
Akins,45,
Alabi,47,
Alaka,7277,
Alama-Francis,48,
Alba,8031,
Albert,50,
Albrecht,7560,
Albright,52,
Albury,6026,
Alcantara,8110,
Alden,6027,
Aldrich,7561,
Aldridge,55,
Alecxih,56,
Aleman,7486,
Alexander,59,
Alexis,60,
Alfieri,7310,
Alfonso,8141,
Alford,61,
Ali,62,
Alicea,8190,
Alie-Cox,7809,
al-Jabbar,63,
Allan,64,
Allegretti,7325,
Alleman,65,
Allen,64,
Allen-Williams,7326,
Alley,7937,
Allgeier,8549,
Alli,5622,
Allison,68,
Allotey,70,
Allred,71,
Almonte,8159,
